1 11 21 31 
1 14 22 32 
1 15 27 32 
9 15 22 34 
1 16 23 32 
1 16 24 33 
1 15 27 32 
1 11 25 34 
1 13 30 33 
3 19 25 34 
2 16 22 33 
1 14 22 32 
1 18 23 32 
1 14 27 35 
1 20 28 32 
1 12 24 32 
2 16 23 34 
1 15 30 32 
1 12 26 32 
1 12 23 32 
2 16 23 34 
3 15 27 32 
1 16 23 36 
2 16 24 36 
1 13 26 34 
1 15 24 32 
1 15 27 34 
1 16 24 32 
3 17 25 32 
1 17 29 34 
1 18 23 32 
1 20 22 32 
1 12 26 32 
1 18 25 34 
1 15 22 32 
2 19 25 34 
1 16 22 32 
1 16 22 33 
1 16 24 32 
1 16 22 36 
2 16 23 35 
1 19 25 37 
1 19 25 32 
1 16 22 34 
1 16 22 32 
1 16 22 32 
1 15 22 32 
1 16 22 39 
1 12 24 32 
2 16 22 32 
1 16 22 32 
2 16 22 35 
1 16 22 33 
1 16 22 34 
1 16 22 35 
2 16 29 38 
1 16 22 32 
1 16 22 32 
1 12 23 37 
1 16 28 34 
1 16 22 32 
1 16 22 32 
1 15 22 35 
1 18 29 32 
1 11 28 32 
1 12 23 34 
1 12 23 35 
1 12 23 32 
1 12 22 34 
1 14 27 32 
1 16 22 35 
1 16 22 32 
1 12 23 32 
2 16 23 38 
2 16 22 36 
2 16 23 32 
1 20 26 37 
1 12 23 32 
3 16 23 32 
1 16 28 34 
1 16 22 32 
2 16 22 32 
1 18 23 32 
1 16 22 32 
1 18 23 35 
1 18 23 33 
1 14 22 36 
1 16 22 38 
2 16 22 32 
2 16 22 32 
1 18 24 32 
6 19 27 34 
2 14 22 37 
3 14 22 32 
2 15 22 38 
1 11 30 32 
2 19 25 32 
1 12 22 33 
2 16 22 32 
1 15 22 33 
1 12 26 34 
2 16 22 32 
1 14 22 32 
1 13 23 32 
3 16 22 32 
1 19 27 32 
1 16 23 32 
1 13 23 35 
1 11 28 33 
1 16 22 32 
1 16 22 32 
4 12 26 32 
1 14 22 32 
1 16 22 32 
1 13 23 33 
1 13 23 34 
2 14 22 35 
1 18 23 32 
1 14 27 32 
2 14 22 33 
1 14 25 32 
1 11 28 32 
1 13 23 37 
1 13 23 32 
1 14 27 32 
1 13 23 32 
3 19 27 35 
1 16 23 32 
1 13 23 32 
2 12 23 32 
1 16 29 35 
1 15 27 34 
3 12 22 33 
1 17 22 32 
1 15 27 34 
2 12 22 32 
1 12 22 32 
9 19 22 35 
1 17 22 33 
1 14 27 32 
5 16 23 35 
1 11 22 32 
1 12 24 32 
1 13 26 34 
1 16 28 34 
1 13 23 32 
2 15 27 32 
2 19 30 32 
1 13 23 35 
1 18 23 38 
10 16 22 34 
1 16 29 32 
1 14 22 36 
1 12 21 32 
1 16 22 32 
6 14 27 32 
5 19 27 32 
1 18 23 32 
4 14 27 35 
1 14 23 35 
1 19 25 32 
5 16 23 33 
1 15 27 32 
2 16 22 32 
1 12 26 32 
1 15 30 32 
1 15 30 33 
1 13 23 32 
2 16 23 32 
1 12 22 32 
1 14 22 32 
1 14 27 32 
1 15 27 32 
1 16 22 32 
1 16 22 36 
1 16 22 32 
1 16 23 35 
6 15 22 32 
2 19 27 32 
1 20 26 36 
2 14 22 32 
1 13 23 35 
1 12 24 33 
1 14 22 35 
3 16 23 32 
1 14 22 35 
2 16 23 32 
1 20 28 32 
1 14 27 32 
2 12 21 32 
1 14 22 32 
1 18 29 34 
1 14 23 32 
1 18 25 32 
1 16 23 34 
1 16 23 32 
1 19 25 32 
1 14 27 32 
7 18 23 34 
2 16 23 32 
1 15 27 34 
1 14 23 36 
1 13 23 34 
1 16 22 32 
1 15 24 35 
1 14 22 34 
1 13 23 32 
2 12 24 32 
1 16 22 32 
2 18 23 34 
1 13 23 31 
1 16 23 35 
1 15 24 34 
1 12 22 32 
2 16 22 32 
3 16 23 34 
3 16 22 40 
1 19 25 32 
3 17 22 38 
1 14 22 34 
1 16 22 36 
2 14 22 34 
2 16 23 32 
1 18 29 35 
9 13 23 32 
4 14 25 34 
1 13 24 32 
1 13 24 32 
1 13 23 32 
1 14 22 32 
1 11 25 33 
1 15 22 34 
1 15 22 32 
1 18 23 32 
1 16 23 32 
1 15 22 34 
1 16 23 32 
3 14 22 32 
1 18 23 32 
1 16 23 32 
1 13 23 32 
3 16 29 35 
1 18 24 32 
1 14 22 32 
1 14 23 32 
1 15 22 35 
1 16 29 38 
1 11 28 34 
1 18 27 32 
1 14 22 34 
1 16 23 32 
1 16 24 32 
1 16 22 32 
1 16 22 32 
1 15 27 35 
1 13 24 32 
1 11 22 32 
2 14 22 33 
1 16 22 32 
1 16 22 32 
1 15 22 32 
1 15 27 32 
1 12 30 32 
1 12 22 37 
1 12 22 32 
1 12 22 34 
1 16 22 37 
1 12 22 36 
1 12 22 32 
1 18 23 32 
1 12 22 32 
1 12 22 32 
1 15 30 33 
1 18 23 34 
1 15 30 35 
1 12 24 32 
1 12 23 32 
5 19 27 32 
1 15 24 35 
4 14 22 35 
1 14 27 34 
1 12 22 32 
2 16 22 32 
5 19 27 34 
1 15 27 32 
1 16 22 32 
2 18 29 39 
2 16 28 32 
1 19 22 32 
1 18 24 32 
6 12 23 32 
1 20 26 40 
1 18 23 32 
2 16 29 32 
6 18 23 32 
1 16 29 34 
1 16 29 34 
1 11 22 32 
1 20 26 32 
6 12 23 36 
1 12 23 32 
1 19 25 32 
1 11 28 33 
1 14 22 32 
1 16 28 32 
1 18 29 34 
9 14 25 35 
1 20 26 40 
1 16 23 32 
1 19 25 32 
1 15 27 32 
1 15 22 32 
8 19 27 32 
1 15 22 32 
1 12 23 35 
1 15 22 32 
2 14 22 33 
1 19 29 32 
1 12 22 32 
1 14 22 32 
1 15 24 32 
1 15 27 32 
1 14 23 34 
3 14 27 32 
9 19 22 33 
1 14 22 36 
1 14 22 33 
1 14 22 32 
1 14 22 32 
2 14 25 39 
2 14 29 35 
1 17 26 32 
1 14 22 36 
1 12 23 32 
1 16 23 32 
1 16 22 32 
1 16 22 32 
1 16 22 33 
1 18 23 32 
1 16 23 32 
1 16 22 32 
1 15 27 32 
1 16 23 32 
5 13 23 32 
1 12 22 32 
1 16 24 34 
1 18 29 32 
1 14 22 34 
1 16 22 32 
1 16 22 32 
3 12 22 32 
1 14 27 32 
9 19 22 34 
2 18 22 32 
1 15 27 32 
1 15 27 32 
1 15 27 34 
1 19 27 35 
5 19 22 33 
1 19 27 34 
1 13 23 32 
1 16 29 32 
1 13 24 32 
1 16 23 35 
1 18 22 33 
1 15 22 34 
2 14 29 32 
3 16 24 32 
1 14 22 32 
1 14 22 33 
1 15 24 32 
4 14 27 35 
10 19 22 34 
1 11 28 32 
1 16 23 32 
1 19 24 35 
2 16 22 32 
1 19 27 37 
2 19 27 34 
1 12 24 32 
1 12 23 34 
1 18 29 38 
1 18 29 32 
1 12 22 34 
1 12 22 32 
4 12 26 36 
1 12 24 33 
1 12 24 32 
1 17 29 32 
1 13 23 32 
1 20 26 38 
1 18 23 32 
1 16 23 32 
1 14 23 34 
1 15 22 32 
5 19 27 32 
2 16 22 32 
1 16 21 32 
1 12 22 34 
1 14 29 33 
1 18 25 38 
1 12 22 36 
7 14 27 32 
1 16 22 33 
1 14 22 36 
3 16 23 36 
1 20 26 38 
2 12 23 32 
1 14 29 34 
1 16 24 35 
1 14 27 32 
1 16 23 32 
1 12 23 32 
1 14 22 33 
1 11 28 32 
1 16 22 35 
1 14 22 32 
10 13 23 35 
1 16 22 32 
1 16 23 34 
1 16 24 32 
3 16 29 34 
1 16 24 32 
1 15 22 32 
1 12 24 32 
1 15 27 32 
2 16 24 32 
2 16 23 34 
2 14 27 32 
1 13 24 33 
1 13 24 32 
1 12 23 32 
1 18 29 34 
1 15 22 32 
1 15 22 34 
1 12 23 35 
1 16 22 33 
1 15 27 36 
5 19 27 35 
2 16 22 32 
6 14 27 32 
1 16 23 35 
1 13 26 32 
1 19 25 35 
2 14 22 34 
2 16 29 33 
1 13 23 35 
10 19 22 32 
1 12 30 32 
2 16 22 35 
1 17 23 32 
2 14 29 32 
1 20 28 34 
1 19 29 32 
1 18 29 32 
9 19 27 32 
1 12 24 32 
1 12 23 32 
1 17 29 33 
1 16 23 32 
1 13 23 32 
1 12 28 37 
2 16 23 34 
7 14 27 32 
1 16 22 32 
1 12 22 32 
2 12 22 32 
1 12 23 34 
1 12 22 34 
1 16 22 33 
1 13 23 32 
6 12 23 35 
2 13 24 32 
1 13 23 32 
2 18 23 32 
2 14 22 32 
1 16 22 37 
1 16 22 35 
1 16 22 36 
1 16 22 33 
2 14 23 32 
1 15 27 34 
1 16 22 33 
3 14 25 35 
1 16 22 32 
1 15 22 32 
1 20 26 36 
2 18 23 32 
1 14 23 32 
1 12 26 34 
2 18 29 36 
1 19 24 32 
1 14 27 35 
2 14 29 32 
1 16 24 34 
1 16 24 32 
2 14 22 34 
1 16 28 33 
2 14 22 34 
1 19 27 38 
1 19 27 34 
2 16 23 35 
1 20 26 31 
1 20 26 39 
1 18 23 32 
1 14 25 32 
1 15 24 32 
1 12 23 32 
1 18 23 37 
2 18 22 34 
10 14 27 32 
1 18 23 35 
1 18 23 32 
1 18 23 34 
2 14 22 32 
1 18 29 32 
10 19 27 32 
1 11 28 32 
1 18 27 32 
1 14 27 34 
2 14 29 32 
2 16 22 32 
1 14 22 32 
6 15 22 34 
2 16 23 38 
1 14 27 36 
1 11 25 32 
1 19 27 33 
2 14 29 32 
1 20 28 32 
1 19 27 38 
1 19 27 37 
1 19 27 32 
1 19 27 34 
1 19 27 32 
1 19 27 34 
1 12 22 33 
7 16 23 33 
1 19 27 32 
1 12 22 32 
2 19 27 34 
1 18 29 32 
1 15 22 32 
1 18 29 34 
1 16 22 32 
1 11 25 32 
1 18 23 33 
2 16 22 32 
1 17 29 32 
1 16 23 32 
2 14 22 36 
1 14 22 34 
2 19 27 33 
1 19 27 32 
1 16 29 32 
1 16 22 32 
1 12 26 33 
1 12 26 34 
1 16 29 34 
1 13 26 32 
1 17 22 32 
1 19 27 33 
1 12 21 32 
1 16 22 32 
1 16 22 32 
1 17 23 32 
1 19 27 32 
3 19 22 35 
1 14 29 32 
1 12 26 33 
3 16 29 32 
2 19 27 32 
4 16 23 32 
2 16 22 32 
2 16 22 34 
3 16 22 32 
2 16 22 32 
1 14 29 32 
1 13 24 32 
1 17 29 34 
2 16 22 35 
2 14 22 34 
1 16 22 32 
1 18 23 34 
1 18 29 34 
1 16 23 32 
1 13 23 32 
1 16 24 36 
1 16 23 32 
1 16 23 36 
1 16 23 32 
1 16 23 34 
1 16 23 32 
1 19 27 33 
1 19 21 32 
1 15 24 32 
1 17 30 32 
10 12 22 32 
1 18 29 33 
1 18 29 35 
1 16 23 35 
1 16 23 32 
1 16 22 35 
1 12 23 35 
1 12 23 35 
1 12 26 32 
1 19 27 32 
1 14 22 34 
1 13 24 33 
1 13 24 35 
3 19 27 34 
1 18 23 38 
1 18 23 32 
1 18 23 32 
1 18 23 32 
1 18 23 34 
1 18 23 33 
3 16 23 32 
1 13 24 34 
1 13 24 33 
1 18 23 32 
1 15 24 32 
1 16 22 32 
1 14 22 32 
1 12 22 35 
1 20 26 32 
1 18 23 32 
1 19 27 34 
1 16 22 35 
2 14 22 32 
3 12 26 32 
1 16 23 34 
1 19 24 32 
1 18 23 35 
1 18 23 32 
1 12 23 32 
1 12 23 34 
1 14 22 35 
1 18 23 34 
1 15 24 32 
1 12 26 35 
10 14 27 34 
1 12 30 32 
3 12 26 33 
2 14 25 37 
1 15 24 32 
5 19 22 32 
9 13 23 32 
1 13 23 36 
1 12 30 32 
1 13 23 32 
2 16 23 32 
1 16 23 32 
1 12 24 32 
1 16 22 32 
2 19 25 34 
1 17 22 32 
1 12 24 32 
1 16 23 32 
1 12 26 34 
6 19 25 32 
1 11 29 35 
1 11 28 35 
1 16 23 35 
1 13 23 34 
1 17 24 32 
1 15 22 35 
1 16 22 32 
1 18 23 36 
2 12 21 35 
6 12 23 32 
1 16 23 32 
1 18 23 33 
1 12 22 34 
1 14 30 32 
1 13 26 33 
2 14 22 32 
1 13 26 32 
1 14 27 38 
1 14 22 36 
1 14 22 32 
1 14 22 35 
1 14 22 31 
1 14 22 34 
1 14 22 38 
1 14 22 32 
1 14 22 32 
1 16 23 32 
1 15 24 32 
1 14 28 32 
2 14 27 36 
1 13 25 32 
2 16 23 32 
1 16 23 34 
2 11 28 35 
1 11 22 33 
1 18 23 34 
1 19 27 34 
1 14 27 34 
1 16 22 36 
2 11 28 34 
1 14 22 32 
1 14 27 33 
1 16 22 32 
1 16 24 32 
1 12 22 32 
1 14 23 32 
1 14 23 40 
1 14 23 32 
1 14 23 32 
1 14 23 32 
1 14 23 34 
1 11 28 36 
1 16 23 33 
1 18 23 34 
2 14 23 32 
1 14 22 34 
1 15 22 32 
1 15 24 32 
1 12 21 32 
1 18 23 32 
1 16 23 32 
1 14 23 32 
1 14 23 32 
1 19 27 38 
1 14 27 32 
1 19 22 33 
7 19 25 34 
2 16 22 32 
1 14 23 36 
2 14 22 32 
1 19 25 38 
1 19 25 34 
1 14 30 34 
1 19 25 32 
1 19 25 32 
1 15 24 34 
1 16 22 32 
1 16 24 32 
1 19 25 32 
1 13 23 36 
1 18 26 32 
2 16 22 34 
2 14 25 34 
1 18 23 32 
1 12 22 34 
1 12 23 33 
1 19 25 32 
2 19 25 32 
1 16 23 32 
1 16 22 34 
2 19 27 34 
2 16 23 32 
1 19 27 32 
2 14 23 32 
1 12 23 34 
6 16 23 32 
9 16 23 35 
1 13 23 32 
1 19 30 32 
2 16 22 35 
10 13 23 32 
10 13 23 37 
8 13 23 34 
1 14 27 32 
1 12 22 36 
1 12 22 32 
1 12 22 33 
1 12 22 32 
1 12 22 32 
2 12 22 35 
1 12 22 34 
1 12 22 34 
1 13 25 34 
1 12 22 38 
1 12 24 35 
2 16 23 32 
1 19 25 32 
2 14 22 32 
1 16 23 33 
1 18 29 32 
1 12 22 32 
1 14 23 39 
1 14 22 32 
1 15 27 32 
2 16 23 34 
4 12 26 32 
1 16 23 32 
1 16 24 32 
1 14 22 35 
2 17 22 36 
3 14 22 37 
1 16 23 32 
3 13 23 33 
1 15 27 32 
1 13 23 32 
1 16 22 32 
1 12 26 32 
1 15 24 32 
1 12 23 31 
1 12 23 32 
1 18 23 35 
1 18 23 32 
3 18 23 34 
1 14 27 37 
1 12 21 35 
5 12 22 32 
1 16 24 32 
1 16 24 32 
1 14 27 32 
1 14 22 32 
1 15 24 32 
1 16 23 32 
1 15 27 32 
8 14 27 32 
1 16 22 32 
1 13 23 38 
1 14 22 32 
1 19 25 36 
1 16 23 32 
1 20 26 32 
1 11 28 32 
1 19 27 33 
1 17 21 32 
1 15 24 32 
1 16 22 32 
2 13 23 34 
4 14 22 32 
1 19 27 32 
1 15 24 34 
1 12 22 34 
1 13 26 38 
4 14 22 35 
3 14 22 32 
1 12 24 32 
1 13 23 32 
1 12 26 32 
1 16 22 32 
1 12 24 32 
1 12 26 34 
1 14 22 32 
1 14 22 33 
1 12 22 32 
1 14 22 32 
1 15 24 34 
1 18 29 36 
1 14 30 32 
2 14 22 32 
2 12 22 36 
9 16 23 32 
1 18 23 33 
1 16 23 34 
1 12 26 32 
1 16 23 32 
1 13 23 37 
1 13 26 32 
1 12 26 34 
1 19 27 32 
1 18 29 32 
1 14 22 32 
1 15 27 32 
1 16 23 32 
2 16 23 33 
3 18 23 32 
3 14 22 32 
1 14 22 33 
1 14 29 33 
1 12 23 32 
1 15 30 33 
1 16 23 32 
1 18 29 36 
2 18 25 34 
1 12 24 32 
1 16 23 37 
1 12 21 35 
6 16 23 32 
2 16 23 32 
7 14 27 32 
1 18 23 32 
2 14 22 33 
2 16 24 32 
4 18 22 32 
1 14 25 32 
7 13 23 32 
1 16 23 34 
1 15 27 38 
4 14 25 32 
1 15 27 34 
2 12 21 32 
1 19 25 32 
1 16 23 34 
1 19 23 32 
1 18 25 32 
2 11 28 32 
2 16 22 32 
1 12 21 32 
2 18 29 33 
1 15 24 33 
3 16 22 35 
1 14 27 32 
1 18 29 32 
1 12 22 34 
1 19 25 34 
1 15 24 32 
2 13 23 32 
1 14 24 36 
1 14 30 34 
1 15 24 35 
4 14 27 35 
1 13 23 32 
2 16 22 32 
6 12 23 32 
1 15 24 35 
4 12 26 32 
1 18 29 35 
1 18 25 34 
1 18 23 34 
1 15 27 32 
1 16 23 33 
1 16 23 32 
1 15 22 32 
1 16 23 32 
1 12 21 32 
1 15 22 32 
1 11 25 32 
1 12 24 32 
1 14 22 32 
1 16 23 32 
1 16 24 33 
2 16 24 32 
1 17 22 34 
7 18 22 35 
1 16 23 32 
1 15 22 34 
1 20 26 32 
1 16 23 32 
1 16 23 33 
1 14 22 35 
1 14 22 32 
1 12 26 32 
1 15 24 34 
1 16 23 32 
2 14 22 34 
2 16 23 35 
2 18 25 32 
1 14 22 34 
1 14 22 35 
1 16 24 34 
1 19 27 38 
1 13 26 34 
1 14 22 35 
1 16 23 35 
2 18 23 33 
2 19 27 32 
2 16 29 36 
1 14 27 32 
1 13 26 33 
1 15 24 34 
